bic,bic_denominacion,eswiki_titulo,eswiki_url,id_bic,id_bic_canarias
http://www.wikidata.org/entity/Q1024943,iglesia de la Concepción,Parroquia Matriz de Nuestra Señora de la Concepción (San Cristóbal de La Laguna),https://es.wikipedia.org/wiki/Parroquia_Matriz_de_Nuestra_Se%C3%B1ora_de_la_Concepci%C3%B3n_(San_Crist%C3%B3bal_de_La_Laguna),RI-51-0001212,
http://www.wikidata.org/entity/Q1049248,Castillo de Guanapay,Castillo de Santa Bárbara (Teguise),https://es.wikipedia.org/wiki/Castillo_de_Santa_B%C3%A1rbara_(Teguise),RI-51-0008266,
http://www.wikidata.org/entity/Q1049274,Castillo de la Luz,Castillo de la Luz,https://es.wikipedia.org/wiki/Castillo_de_la_Luz,RI-51-0001107,
http://www.wikidata.org/entity/Q11073552,Parroquia San Francisco de Asís,Parroquia de San Francisco de Asís (Las Palmas de Gran Canaria),https://es.wikipedia.org/wiki/Parroquia_de_San_Francisco_de_As%C3%ADs_(Las_Palmas_de_Gran_Canaria),RI-51-0008709,
http://www.wikidata.org/entity/Q1241319,Real Santuario Insular de Nuestra Señora de las Nieves,Real Santuario Insular de Nuestra Señora de las Nieves,https://es.wikipedia.org/wiki/Real_Santuario_Insular_de_Nuestra_Se%C3%B1ora_de_las_Nieves,,
http://www.wikidata.org/entity/Q1276162,Exconvento de San Agustín,Exconvento de San Agustín (Tacoronte),https://es.wikipedia.org/wiki/Exconvento_de_San_Agust%C3%ADn_(Tacoronte),ARI-51-0009032,259
http://www.wikidata.org/entity/Q129389,Barrio de los Hoteles,Los Hoteles (Santa Cruz de Tenerife),https://es.wikipedia.org/wiki/Los_Hoteles_(Santa_Cruz_de_Tenerife),RI-53-0000394,1118
http://www.wikidata.org/entity/Q1385934,Catedral de Canarias,Catedral de Canarias,https://es.wikipedia.org/wiki/Catedral_de_Canarias,RI-51-0003939,
http://www.wikidata.org/entity/Q1435665,Salinas de Arinaga,,,RI-51-0010673,
http://www.wikidata.org/entity/Q1451968,Museo de la Naturaleza y el Hombre,Museo de la Naturaleza y el Hombre,https://es.wikipedia.org/wiki/Museo_de_la_Naturaleza_y_el_Hombre,RI-51-0004989,351
http://www.wikidata.org/entity/Q1454573,Templo Masónico de Santa Cruz de Tenerife,Templo Masónico de Santa Cruz de Tenerife,https://es.wikipedia.org/wiki/Templo_Mas%C3%B3nico_de_Santa_Cruz_de_Tenerife,RI-51-0010945,1130
http://www.wikidata.org/entity/Q16540776,Camino del Socorro,Camino del Socorro (Güímar),https://es.wikipedia.org/wiki/Camino_del_Socorro_(G%C3%BC%C3%ADmar),RI-54-0000223,235
http://www.wikidata.org/entity/Q16544245,Casa del Paseo y Capilla de San Juan,Casa del Paseo y Capilla de San Juan,https://es.wikipedia.org/wiki/Casa_del_Paseo_y_Capilla_de_San_Juan,RI-54-0000140,
