id,qid
1,Q1024943
2,Q1049248
3,Q1049274
4,Q11073552
5,Q1241319
6,Q1276162
7,Q129389
8,Q1385934
9,Q1435665
10,Q1451968
11,Q1454573
12,Q16540776
13,Q16544245
14,Q16544675
15,Q16563022
16,Q1657172
17,Q16577826
18,Q16577942
19,Q16587521
20,Q16592166
21,Q16608527
22,Q16616473
23,Q16616473
24,Q1700342
25,Q1707711
26,Q1750856
27,Q17525464
28,Q17612354
29,Q18397857
30,Q1878948
31,Q1952424
32,Q20018152
33,Q2004326
34,Q2053265
35,Q206404
36,Q2073174
37,Q2073408
38,Q20856286
39,Q2185489
40,Q24568165
41,Q24693406
42,Q24951597
43,Q27616561
44,Q27688767
45,Q28035250
46,Q2878575
47,Q2890339
48,Q2890891
49,Q2918089
50,Q2918942
51,Q3198233
52,Q3560239
53,Q3565234
54,Q3689605
55,Q3699202
56,Q3739792
57,Q3821476
58,Q43077814
59,Q43078824
60,Q43078876
61,Q43091014
62,Q43091636
63,Q43111423
64,Q43113884
65,Q43114526
66,Q43114744
67,Q43114910
68,Q43115365
69,Q43115678
70,Q43117395
71,Q43118063
72,Q43118435
73,Q43120071
74,Q43120080
75,Q43120095
76,Q43120105
77,Q43120118
78,Q43120126
79,Q43120135
80,Q43120147
81,Q43120156
82,Q43120167
83,Q43120174
84,Q43120184
85,Q43120194
86,Q43120206
87,Q43120211
88,Q43120219
89,Q43120224
90,Q43120237
91,Q43120244
92,Q43120256
93,Q43120267
94,Q43120681
95,Q43120694
96,Q43120714
97,Q43127913
98,Q43127922
99,Q43128388
100,Q43128416
101,Q43129419
102,Q43129451
103,Q43129461
104,Q43129477
105,Q43129488
106,Q43129497
107,Q43129516
108,Q43129543
109,Q43129568
110,Q43130885
111,Q43130894
112,Q43132256
113,Q43140505
114,Q43140547
115,Q43140574
116,Q43143513
117,Q43143573
118,Q43143593
119,Q43143605
120,Q43143617
121,Q43143640
122,Q43143658
123,Q43143662
124,Q43143676
125,Q43143688
126,Q43143696
127,Q43143717
128,Q43143757
129,Q43143761
130,Q43143764
131,Q43143772
132,Q43143785
133,Q43143810
134,Q43143820
135,Q43143832
136,Q43143843
137,Q43145524
138,Q43145531
139,Q43154558
140,Q43156591
141,Q43156716
142,Q43156830
143,Q43156984
144,Q43157097
145,Q43158321
146,Q43158346
147,Q43158663
148,Q43158676
149,Q43158943
150,Q43158953
151,Q43160845
152,Q43165664
153,Q43165676
154,Q43168681
155,Q43168901
156,Q43168914
157,Q43169094
158,Q43169120
159,Q43169246
160,Q43169288
161,Q43169297
162,Q43169528
163,Q43170209
164,Q43170369
165,Q43170376
166,Q43170534
167,Q43170565
168,Q43170577
169,Q43170656
170,Q43170722
171,Q43171397
172,Q43171481
173,Q43171559
174,Q43171574
175,Q43171574
176,Q43171583
177,Q43172060
178,Q43172123
179,Q43172186
180,Q43172315
181,Q43173042
182,Q43173184
183,Q43173288
184,Q43173831
185,Q43173847
186,Q43173903
187,Q43173945
188,Q43174079
189,Q43174098
190,Q43174112
